Italy	Rome
United Arab Emirates	Abu Dhabi


Uruguay	Montevideo
United States	Washington D.C.


Uzbekistan	Tashkent
Utah	Salt Lake City


Vanuatu	Port Vila


West Virginia	Charleston
Virginia	Richmond
Vietnam	Hanoi
Vermont	Montpelier



Wales	Cardiff

Washington	Olympia


Yeman	Sanaa
Wisconsin	Madison

Wyoming	Cheyenne


Zimbabwe	Harare
Zambia	Lusaka



